81.4 75.1 82 81.9 82.6 82.4 82.2 79.5 73.2 77.2 77.2 76.4
70.6 79.3 83 82.8 81.2 84.1 80.8 76.5 77.2 73 69.4 76.4
78.2 79.6 85 83.4 83.6 81.6 78.1 78.2 75.6 76.5 77.3 78.9
88.7 84.8 87.7 89.5 88.6 89.4 88.4 87 83.1 87.5 84.3 87.9
83.1 89.2 89.1 87.9 88 89.8 89 85.9 86.2 83.4 79.7 84.3
86.3 86.3 86.3 86.3 86.3 86.3 86.3 86.3 86.3 86.3 86.3 NA
90 89.1 89.3 89.9 91.5 90.9 91.6 91.6 88.8 92 91.5 90.4
NA NA NA NA NA 86.1 91.3 87.9 90.1 88.7 84.6 85.3
91.7 91.6 90.6 91.3 93.3 96 93.1 90.2 90.5 90.5 91.2 89.2
75.2 71.3 78.6 77.4 77.8 76.9 76.4 72.4 66.8 72.7 74.1 71.5
68.5 74.9 79.9 78.6 76.1 80.2 75.1 70 73 71.7 66.3 74
NA NA NA NA NA NA NA NA NA NA 73 73.4
89.4 86.5 89.8 90.3 91.1 94 92 89.6 82.4 86.7 86.5 87.1
80.3 90.6 89.7 90 90.2 93.5 91 86.3 86.7 83.9 80.6 85.4
87.6 88.5 90.4 91.2 90.6 89.3 90 86.7 86.5 86 86.1 87
98.2 98.8 98.6 97.2 96.5 96 92.2 88.6 85.9 90.3 66.5 51.2
97.8 98.1 98.4 97.5 93.4 85.4 89.7 81.9 90.3 80.6 74.4 95
97.7 96.9 94.9 NA NA NA NA 83.5 88.2 93.9 78.7 95.7
83.9 84.6 89.4 84.1 83.5 76.5 76.3 69.9 65 78.3 81.8 73.9
83.1 82.1 86.7 87.3 83.4 81.2 75.4 68.1 73 77.7 73.1 83.7
85.9 90.7 93 88 87.9 82.5 72.5 74.6 72 78.1 78.2 84.9
80.5 76.9 82.6 83.2 84.2 84 82.5 79.2 74.7 78.7 78.3 78
74.2 82.4 85.1 84.8 83.2 85.7 82.8 78.5 79.6 77.3 71.2 80
77.7 75.5 77.8 83.4 84.7 83.3 81.2 79.4 78.3 79.2 76.5 78.9
92 87.1 92.6 92.1 91.5 93 91.3 91.1 85.1 90.1 87.9 90
83.2 91.9 93.6 92.2 91.4 96.2 95.2 91.8 91.6 88.8 82.2 89.5
91.5 92.3 95.9 96.1 95.5 93.4 92.7 90.7 90.8 90.4 88.2 90.6
