"Code","Date","Observed","Suggested","Anomaly (std.devs.)"
"E01","2015-07-14",75.2,63.8,4.39
"E03","2015-09-14",65.4,54.5,3.97
"E03","2016-01-27",70.6,60.1,3.62
"E03","2016-01-28",62.7,50.2,4.31
"E03","2016-12-22",80.5,68.8,4.03
"E03","2017-01-23",79.3,65.2,4.86
"E03","2017-01-24",80.5,64,5.71
"E04","2015-02-19",89.8,54.5,3.55
"E04","2015-02-20",81.1,36.3,4.45
"E04","2016-11-15",78.7,40.1,3.84
"E04","2016-11-16",66.6,21.2,4.51
"E04","2016-11-20",58,12.8,4.49
"E05","2017-03-14",92.9,81.7,3.5
"E05","2017-04-20",92.8,81.8,3.51
"E06","2015-12-13",97.8,77.2,4.09
"E07","2016-01-28",91.3,21.9,4
"E08","2015-02-20",75.6,65.5,3.53
"E08","2015-11-04",77.4,65.2,3.93
"E08","2016-01-27",77.2,67.1,3.54
"E08","2016-01-28",71.2,56.9,4.88
"E08","2016-03-26",73.1,96.2,-7.46
"E08","2016-03-27",73.4,94.2,-6.75
"E08","2016-10-27",73.4,60,4.32
"E08","2016-11-16",68.6,56.9,3.78
"E09","2017-01-23",86.3,73.2,4
"E09","2017-01-24",86.3,71.7,4.48
