Date,E05,E09,E06,E01,E08,E07,E04,E03,E02,E02-2
2015-01-01,75.2,88.4,97.2,70.7,87.2,97.7,83.1,78.8,88.7,87.5
2015-01-02,78.9,93.3,88.7,66.6,80.6,99.8,74.5,73.9,93.8,92.1
2015-01-03,77.2,92.8,84.3,67.4,84.7,98.7,78,75,93.9,92.2
2015-01-04,85.4,93.3,93.5,75.7,92,99.5,80.5,83.9,97.8,95.6
2015-01-05,81.5,93.8,83.4,69.1,87.1,98.1,81.4,78,96.2,94.2
2015-01-06,77,89.5,88.6,69.8,86.9,97.1,72.7,76,90.9,89.4
2015-01-07,77.3,87.6,87.4,66.8,90.6,99.8,73.8,74.2,90.3,89
2015-01-08,74.2,85,94.8,71.8,89.4,98.7,72.5,78,90.9,89.5
2015-01-09,88,92.1,92.6,84.4,97.4,98.9,81.4,88.8,101.7,98.9
2015-01-10,84.7,91.7,83.8,83,96.6,99.4,76.2,87.1,100.9,98.3
2015-01-11,85.6,90.8,90.6,75.2,94.6,99.5,75.5,81.4,100.4,97.8
2015-01-12,79.6,87.4,87.3,71.4,89,99.2,78.4,77.3,92.5,90.9
2015-01-13,80.4,90.5,89.5,74,89.6,99.3,80.5,79.5,93.6,91.9
2015-01-14,72.7,83.8,85.9,67.5,85.8,98.9,75.4,75.8,86.7,85.8
2015-01-15,75,83.8,85.7,72.3,84.1,96.1,73.5,77.6,87.3,86.3
2015-01-16,72.3,83.2,95,68.9,83.9,99.8,82.2,73.4,88.7,87.6
2015-01-17,79,82.9,88.5,74,87.5,93,87.7,79.9,91.4,89.9
2015-01-18,92.3,89.8,92.7,87.3,91.7,95.3,95.1,87.3,95.8,93.8
2015-01-19,87.7,86.3,87.6,80.9,89,98.2,93.9,83.5,95.6,93.6
2015-01-20,85.3,89,91.5,80.2,89,99.7,97.8,85.6,94.9,93
2015-01-21,83,87.9,91.9,80.7,88.4,99.4,97.8,83.1,93.7,91.9
2015-01-22,85.7,86.8,94.6,79.7,89.9,94.1,95.9,81.7,93.7,91.9
2015-01-23,86.3,89.3,91.3,85.3,95,90.5,91.7,87.5,97,94.8
2015-01-24,88.1,85.2,89.7,78.9,89.3,99.5,91.7,81.3,91.3,89.8
2015-01-25,79.4,87.5,84,75.4,89.8,98.7,89.1,81.4,94.2,92.4
2015-01-26,79.6,86.5,95.8,74.2,88.8,99.8,91.5,79.7,89.6,88.3
2015-01-27,85.1,88.4,95.4,74.8,87.8,99.8,95.1,80.4,91.4,89.9
2015-01-28,81,89.6,88.9,75.4,90.9,94.8,84.1,82,92.3,90.7
2015-01-29,82.3,91.1,89.9,76.4,89.6,99.8,85.1,81.2,97.1,94.9
2015-01-30,80.1,91.5,88.1,77.2,90.2,99.8,82.6,80.3,97,94.8
2015-01-31,82.8,92.5,92.3,76,94.1,99.8,81.7,82.7,98,95.7
2015-02-01,83.7,89.9,88.8,73.5,93.7,99.8,77.5,81.1,96.2,94.2
2015-02-02,79.4,89.3,85.7,72,88.6,99.8,79.5,78.1,96.7,94.5
2015-02-03,78,91.4,80.5,74.6,91.2,98.5,72.9,80.6,97.8,95.5
2015-02-04,79.5,91,88.3,73.5,90,99.3,79,79.6,98.1,95.8
2015-02-05,77.8,88.9,88,71.8,88.1,99.8,81.8,77.3,94.4,92.5
2015-02-06,71.8,84.3,88,66.2,81.9,99.4,87.5,71.5,85.4,84.7
2015-02-07,74.5,79.8,92,74,85.3,99.6,98,76,88.9,87.7
2015-02-08,85.8,84.6,94,83.6,88.3,99.8,96.2,84.8,95.5,93.5
2015-02-09,78.7,85.3,89.4,78.2,88.6,99.8,97,81.7,90.9,89.5
2015-02-10,74.3,84.8,82.4,75.9,89.8,99.5,94.7,80.9,85.5,84.7
2015-02-11,77.8,86.5,84.3,74.5,87.4,99.7,78.6,79.9,92.6,91
2015-02-12,74.9,86.3,90.7,75.1,89.6,99.8,77.7,79.2,93.7,91.9
2015-02-13,76.4,89.6,92.9,73.6,90.3,99.6,75.1,79.1,94.2,92.4
2015-02-14,80.3,90.6,86.8,74.6,89.9,99.8,80.4,82.4,92.2,90.6
2015-02-15,81.5,88.9,94.7,78.1,91.7,99.8,86.6,85.9,94.3,92.5
2015-02-16,71.9,86,84.6,70.5,88.2,98.7,83.9,78.6,86.7,85.8
2015-02-17,65.7,80.7,89.6,63,83.2,99.6,81.9,72.3,77.2,77.4
2015-02-18,74.6,80.5,92.1,68.2,81,99.9,87.1,74.4,81.7,81.4
2015-02-19,69.7,70.2,95.4,65.8,79.8,99.8,54.4,63.2,81,80.8
2015-02-20,61.1,65.4,84.7,50.3,65.4,97.2,33.1,56.6,60.4,62.7
2015-02-21,64.9,82.2,86.3,57.8,78,89.5,73.9,66.5,68.2,69.6
2015-02-22,72.4,85.8,86.1,69.5,84.4,90.2,83.2,74.9,87.3,86.3
2015-02-23,69.8,79.9,89.2,70.2,84.4,99.8,84.8,75.2,85.5,84.8
2015-02-24,76.4,84.3,91,71.9,83.4,99.8,87.1,77.3,87.3,86.3
2015-02-25,75.8,85.9,89.1,75.8,85.8,99.4,93.4,80.2,89.5,88.2
2015-02-26,75.5,88.4,96.5,73.2,86.9,99.8,95.6,78.8,89.6,88.4
2015-02-27,74.3,86.8,94.3,70,86.3,99.8,83.5,76.4,87.9,86.8
2015-02-28,76.6,88.2,89.1,70.9,89.8,99.8,81.6,80.8,91.3,89.9
2015-03-01,79.5,86.6,90.9,71.4,85.1,99.8,90.7,79.1,86.9,86
2015-03-02,80.8,87.1,89,75.5,82.5,99.4,93.7,79.8,88.3,87.2
2015-03-03,81.8,88.2,87.8,79.2,87,99.4,89.7,82,91.6,90.1
2015-03-04,74.1,86.8,83.1,76.2,87.2,99.6,87.5,80.7,91.8,90.3
2015-03-05,73.2,83.5,88.6,74.5,86.9,99.8,83.9,79.1,89.6,88.3
2015-03-06,78.2,88.6,87.7,78.2,88.3,99.5,88.6,81.6,95.2,93.3
2015-03-07,84.6,91.9,90,80.5,95.9,99.9,80.4,86.4,101.3,98.6
