Date,E05,E09,E06,E01,E08,E07,E04,E03,E02,E02-2,E04-2,E03-2,E09-2,E04-3,E03-3,E08-2
2015-01-01,75.2,86.3,97.2,70.7,85.8,97.7,81,78.6,88.4,87.5,83.1,80.7,88.4,89.2,78.8,87.2
2015-01-02,78.9,86.2,88.7,66.6,79,99.8,73.8,73.4,93.6,92.1,74.5,76.7,83.6,81.9,73.9,80.6
2015-01-03,77.2,86.3,84.3,67.4,83.2,98.7,76.7,74.6,93.7,92.2,78,77.5,92.8,84.9,75,84.7
2015-01-04,85.4,86.3,93.5,75.7,90.7,99.5,78.8,84.1,97.6,95.6,80.5,85,93.3,87,83.9,92
2015-01-05,81.5,86.3,83.4,69.1,85.7,98.1,79.6,77.8,96,94.2,81.4,80.1,93.8,87.8,78,87.1
2015-01-06,77,86.3,88.6,69.8,85.5,97.1,72.2,75.6,90.6,89.4,72.7,78.3,89.5,80.4,76,86.9
2015-01-07,77.3,86.3,87.4,66.8,89.3,99.8,73.1,73.7,90.1,89,73.8,76.8,87.6,81.3,74.2,90.6
2015-01-08,74.2,86.2,94.8,71.8,88.1,98.7,72,77.8,90.7,89.5,72.5,80.1,85,80.2,78,89.4
2015-01-09,88,86.3,92.6,84.4,96.4,98.9,79.6,89.3,100,98.9,81.4,89.1,92.1,87.8,88.8,97.4
2015-01-10,84.7,86.3,83.8,83,95.5,99.4,75.2,87.5,100,98.3,76.2,87.7,91.7,83.4,87.1,96.6
2015-01-11,85.6,86.3,90.6,75.2,93.5,99.5,74.6,81.4,100,97.8,75.5,82.9,90.8,82.7,81.4,94.6
2015-01-12,79.6,86.3,87.3,71.4,87.7,99.2,77.1,77,92.3,90.9,78.4,79.5,87.4,85.3,77.3,89
2015-01-13,80.4,86.3,89.5,74,88.4,99.3,78.9,79.4,93.4,91.9,80.5,81.3,90.5,87.1,79.5,89.6
2015-01-14,72.7,86.2,85.9,67.5,84.4,98.9,74.5,75.4,86.5,85.8,75.4,78.2,83.8,82.7,75.8,85.8
2015-01-15,75,86.2,85.7,72.3,82.6,96.1,72.9,77.3,87.1,86.3,73.5,79.7,83.8,81,77.6,84.1
2015-01-16,72.3,86.2,95,68.9,82.4,99.8,80.3,72.9,88.5,87.6,82.2,76.2,83.2,88.5,73.4,83.9
2015-01-17,79,86.2,88.5,74,86.2,93,85,79.8,91.2,89.9,87.7,81.6,82.9,93.2,79.9,87.5
2015-01-18,92.3,86.3,92.7,87.3,90.5,95.3,91.3,87.7,95.6,93.8,95.1,87.8,89.8,99.6,87.3,91.7
2015-01-19,87.7,86.3,87.6,80.9,87.7,98.2,90.3,83.6,95.4,93.6,93.9,84.6,86.3,98.6,83.5,89
2015-01-20,85.3,86.3,91.5,80.2,87.7,99.7,93.6,86,94.7,93,97.8,86.4,89,100,85.6,89
2015-01-21,83,86.3,91.9,80.7,87.1,99.4,93.6,83.2,93.5,91.9,97.8,84.3,87.9,100,83.1,88.4
