Date,E05,E09,E06,E01,E08,E07,E04,E03,E02,E02-2,E09-2,E03-2
2015-01-01,75.2,86.3,97.2,70.7,87.2,97.7,83.1,78.7,88.8,87.5,88.4,78.8
2015-01-02,78.9,86.2,88.7,66.6,80.6,99.8,74.5,74.3,94.1,92.1,83.7,73.9
2015-01-03,77.2,86.3,84.3,67.4,84.7,98.7,78,75.3,94.2,92.2,92.8,75
2015-01-04,85.4,86.3,93.5,75.7,92,99.5,80.5,83.5,98.2,95.6,93.3,83.9
2015-01-05,81.5,86.3,83.4,69.1,87.1,98.1,81.4,78,96.5,94.2,93.8,78
2015-01-06,77,86.3,88.6,69.8,86.9,97.1,72.7,76.2,91,89.4,89.5,76
2015-01-07,77.3,86.3,87.4,66.8,90.6,99.8,73.8,74.5,90.5,89,87.6,74.2
2015-01-08,74.2,86.3,94.8,71.8,89.4,98.7,72.5,78,91.1,89.5,85,78
2015-01-09,88,86.3,92.6,84.4,97.4,98.9,81.4,87.9,100,98.9,92.1,88.8
2015-01-10,84.7,86.3,83.8,83,96.6,99.4,76.2,86.4,100,98.3,91.7,87.1
2015-01-11,85.6,86.3,90.6,75.2,94.6,99.5,75.5,81.1,100,97.8,90.8,81.4
2015-01-12,79.6,86.3,87.3,71.4,89,99.2,78.4,77.4,92.7,90.9,87.4,77.3
2015-01-13,80.4,86.3,89.5,74,89.6,99.3,80.5,79.4,93.8,91.9,90.5,79.5
2015-01-14,72.7,86.2,85.9,67.5,85.8,98.9,75.4,76,86.7,85.8,83.8,75.8
2015-01-15,75,86.2,85.7,72.3,84.1,96.1,73.5,77.6,87.4,86.3,83.8,77.6
2015-01-16,72.3,86.2,95,68.9,83.9,99.8,82.2,73.8,88.8,87.6,83.2,73.4
2015-01-17,79,86.2,88.5,74,87.5,93,87.7,79.7,91.6,89.9,82.9,79.9
2015-01-18,92.3,86.3,92.7,87.3,91.7,95.3,95.1,86.5,96.1,93.8,89.8,87.3
2015-01-19,87.7,86.3,87.6,80.9,89,98.2,93.9,83,95.8,93.6,86.3,83.5
2015-01-20,85.3,86.3,91.5,80.2,89,99.7,97.8,85,95.2,93,89,85.6
2015-01-21,83,86.3,91.9,80.7,88.4,99.4,97.8,82.7,93.9,91.9,87.9,83.1
2015-01-22,85.7,86.3,94.6,79.7,89.9,94.1,95.9,81.4,93.9,91.9,86.8,81.7
2015-01-23,86.3,86.3,91.3,85.3,95,90.5,91.7,86.8,97.3,94.8,89.3,87.5
2015-01-24,88.1,86.3,89.7,78.9,89.3,99.5,91.7,81,91.4,89.8,85.2,81.3
2015-01-25,79.4,86.3,84,75.4,89.8,98.7,89.1,81.1,94.4,92.4,87.5,81.4
2015-01-26,79.6,86.3,95.8,74.2,88.8,99.8,91.5,79.5,89.7,88.3,86.5,79.7
2015-01-27,85.1,86.3,95.4,74.8,87.8,99.8,95.1,80.2,91.5,89.9,88.4,80.4
2015-01-28,81,86.3,88.9,75.4,90.9,94.8,84.1,81.7,92.5,90.7,89.6,82
2015-01-29,82.3,86.3,89.9,76.4,89.6,99.8,85.1,80.9,97.4,94.9,91.1,81.2
2015-01-30,80.1,86.3,88.1,77.2,90.2,99.8,82.6,80.1,97.3,94.8,91.5,80.3
2015-01-31,82.8,86.3,92.3,76,94.1,99.8,81.7,82.4,98.3,95.7,92.5,82.7
2015-02-01,83.7,86.3,88.8,73.5,93.7,99.8,77.5,80.9,96.5,94.2,89.9,81.1
